Region,Soil_Type,Soil_pH,Organic_Matter_%,Rainfall_mm_per_year,Temperature_C_avg,Climate_Zone,Irrigation_Level,Soil_Fertility,Growing_Season_days,Yield_tons_per_hectare,Best_Crop
South America,Clay,7.447327673510634,2.1356838989498628,846.4507394322007,22.834470353935437,Continental,Medium,High,171,14.708891705420573,Corn
Asia,Clay,6.23293756916572,3.976682092226249,533.985186897043,19.87356187214436,Dry,Low,Low,156,12.224370249906768,Soybean
South America,Loam,7.457785716550018,2.9469686118378204,1179.3585965307896,22.69804600791833,Dry,Medium,High,97,16.31463385581374,Rice
North America,Loam,7.228335130143806,1.920741072966221,1072.8866894640637,25.860144519022,Temperate,Low,Medium,137,14.92362341236934,Rice
South America,Clay,7.406143694047906,2.323001218682055,896.4944830486371,21.63611693182933,Tropical,Medium,Low,135,13.584996120573894,Soybean
Africa,Loam,6.036949713780314,2.9411194971052628,610.0961909642283,17.01551334218624,Dry,Low,High,107,12.3630851753432,Barley
Asia,Loam,7.254746143855911,3.9630744710168178,818.4957743102194,20.29104359223,Continental,Medium,Medium,122,14.07876637711824,Wheat
Europe,Loam,6.012413887188917,3.446054843462722,666.6113250086975,11.540908718748485,Temperate,High,Low,149,10.809696958591234,Barley
Africa,Sandy,6.251165905279888,1.375927759363476,1570.5462981309443,18.42365377679827,Continental,Medium,Medium,176,16.16005444143162,Soybean
North America,Sandy,5.561000499878099,1.1493927549968577,937.2520380749027,11.936420644051742,Temperate,High,Medium,159,11.163910380147355,Barley
Africa,Sandy,5.888760067989746,2.6454156202267143,423.9374823094887,26.051993165683193,Continental,Low,Low,144,11.975999874687657,Soybean
South America,Sandy,6.367041475161484,3.9761705719964615,778.5611049677748,17.56891357123438,Temperate,Medium,Medium,179,13.896909693296587,Barley
Africa,Sandy,5.6877465801625835,1.7314639884292293,973.1510388340243,12.25585660087954,Temperate,Medium,Low,90,10.256118833125319,Barley
Africa,Loam,5.9954619790023145,2.4238907146050463,534.6336467728206,29.21857898875923,Continental,High,Low,175,14.599764216249023,Wheat
South America,Clay,6.799547365285527,1.192235696788135,954.9268106858674,17.59375933088247,Temperate,Low,High,158,11.459653408107055,Barley
South America,Clay,7.212979682376645,3.63477452647578,811.7017804613688,31.739984642251613,Continental,High,Medium,93,18.572208100041763,Soybean
Asia,Sandy,7.1224083534720055,4.282557902975821,829.6363462758299,14.827988217571576,Continental,High,Medium,101,13.924765990031943,Barley
North America,Sandy,5.642377296920458,2.275902521175045,856.1983735470066,16.88650240089703,Tropical,Medium,High,115,12.605188736027749,Barley
North America,Sandy,5.578372653351293,2.671784126862315,1056.3840760628404,22.647177558269014,Dry,Medium,Low,125,14.621555080420748,Rice
Asia,Sandy,6.0000328984322095,3.3221760493756394,676.9509568461019,21.913997335753933,Tropical,High,Low,112,14.393124712376865,Soybean
Europe,Loam,6.279236172438407,2.1905406980372435,712.0964249051445,18.370134295092555,Tropical,Medium,Low,108,12.950947534527089,Wheat
Europe,Sandy,7.401214293875112,3.2937515524931444,864.8332704976884,19.349284728161578,Tropical,High,Low,105,12.867930462863823,Soybean
Europe,Loam,7.361858211374585,4.896992834137641,710.6452976420185,18.287055658846768,Tropical,Low,High,103,14.581594723985214,Corn
Asia,Sandy,5.785983364105672,4.046042526869889,634.9005606414977,18.393070791735035,Dry,High,Low,106,12.71260635877263,Soybean
Asia,Loam,6.662610834453565,4.452554087956015,840.7645455054934,12.091730371927273,Temperate,Medium,Low,175,11.93288961659249,Barley
South America,Sandy,6.9163623911664,2.9266679518564613,451.34295055764824,25.347389760204347,Dry,High,Low,143,12.692595308714678,Soybean
North America,Loam,5.612606551363674,1.4752716650722877,966.3916373149023,19.90743432003805,Temperate,High,Low,150,12.840076495183688,Wheat
Europe,Loam,6.455429781760455,1.331565286773417,692.0509281350812,12.900191835041548,Tropical,High,Low,122,9.507610661511812,Barley
Africa,Loam,6.08898789367886,4.983325500117482,802.5184801563589,17.640612379410655,Dry,Low,Medium,143,13.813345941797982,Barley
North America,Loam,6.054762365962265,1.7524846388950452,1237.9605866435345,15.958508573224243,Tropical,High,Medium,179,13.503117938845984,Barley
South America,Sandy,6.04191528503026,1.5327405008949988,688.3159261134479,28.638738137171295,Tropical,High,Medium,124,14.313092790226777,Soybean
Africa,Clay,7.3654569667080265,4.464255558001634,535.9533585958716,29.15729382927177,Temperate,High,Low,94,15.961553830266244,Soybean
Europe,Clay,6.285978897957718,4.316656882826058,743.5557622025578,26.861888982736232,Continental,High,Low,138,15.890777965597815,Soybean
Africa,Sandy,6.568692550058926,3.9996429978798873,843.7366184552282,17.578121540153482,Temperate,Low,High,92,14.949950614093042,Barley
Africa,Clay,6.002884879023597,2.098927188103635,862.4916962195895,16.30190615285324,Temperate,High,Low,93,11.557548438269972,Barley
Europe,Sandy,6.540615401807587,4.089273566942557,866.4628023959183,16.25756731721723,Continental,Medium,High,139,14.565989512152461,Barley
Africa,Clay,6.34107155733015,4.138673055777238,1030.649037285691,17.183706942698183,Temperate,High,Low,103,15.888924609465148,Barley
Asia,Loam,6.71617569908377,3.5465772864891303,840.6227095893013,20.247863646497024,Dry,High,Medium,168,15.357766251209995,Wheat
South America,Sandy,7.22472741749349,4.7980824946305685,772.5844357916294,28.143077727856458,Temperate,Low,High,93,16.954260763912096,Corn
Asia,Sandy,6.157503220575016,3.533603417266903,798.7601720652254,22.015596635427887,Temperate,Low,Low,164,13.608661707816442,Soybean
South America,Sandy,5.8845780376173416,1.1634744650659155,612.024042734529,15.071369768322281,Dry,High,High,94,11.264333973980984,Barley
Asia,Clay,6.211982968543972,4.576869051583703,1136.5852928745874,31.908183972539753,Tropical,Medium,Low,138,20.39923946386002,Rice
Europe,Clay,5.8139553654323874,2.5091438609682903,807.0527103943457,20.612527491697595,Tropical,High,Low,170,14.213067334056916,Soybean
Asia,Sandy,6.240944205582764,2.9380919407640853,693.8997704778945,17.1209087967766,Continental,Low,High,179,12.552290234350046,Barley
Asia,Sandy,7.290413675374399,3.0467097684626645,1119.422544504162,24.257010461894144,Temperate,Medium,High,107,16.81761575296091,Rice
Asia,Clay,5.864567756951916,3.2558603680753455,858.7332047218931,17.55615088272234,Dry,High,High,106,14.341913140765179,Barley
South America,Sandy,6.496884397858114,1.3476811523496948,583.6903992771211,25.276654982732072,Tropical,Low,Low,175,11.906410543752646,Soybean
Asia,Loam,7.299294794290025,3.4302208891742914,495.38475222392935,14.320672512463766,Continental,Low,High,148,10.31801843928864,Barley
Africa,Clay,5.846747190589509,4.587061698505701,912.5938473381142,17.038030378805654,Temperate,High,Medium,92,14.71203232429692,Barley
North America,Loam,7.334791226171063,1.0212000255904217,834.7932658339139,24.539359736212138,Continental,Low,High,140,14.135904335765058,Corn
North America,Clay,6.350872877232834,3.03044151473782,966.3636352210526,17.177214983652124,Dry,Low,Low,101,11.90831252117679,Barley
Europe,Clay,6.141284384319029,3.3755323902315952,952.8504397218046,20.0539908240485,Temperate,Medium,Low,95,13.550668675366873,Soybean
Asia,Clay,6.7122037621116775,4.177157799865849,723.088891154035,19.641629817212813,Tropical,Medium,Low,138,12.83775038108217,Soybean
Africa,Clay,7.352898847179422,3.8863862030051086,698.3188090212495,13.790797416472333,Continental,Medium,Medium,149,11.978016772769235,Barley
Europe,Sandy,6.8303944413924,3.0922616990764773,822.7458920425961,21.972260711891483,Temperate,Medium,High,93,14.968724792631475,Corn
Europe,Sandy,6.253888858849815,2.8507191426784257,749.9754797850977,26.505262165811498,Temperate,Low,Medium,127,13.618855506061792,Soybean
Europe,Sandy,7.312944221929094,3.4969519836559684,1102.1606436229054,24.147027905917447,Tropical,Low,High,140,15.946905522310594,Rice
North America,Loam,6.982921822278091,3.2926033970295547,797.4511699023263,25.271976079245572,Dry,Medium,High,118,15.973250941138822,Corn
Africa,Loam,6.487962974261725,4.018541167440466,630.0311261070417,23.29352562854877,Dry,Low,Medium,127,13.698467444509651,Wheat
Africa,Loam,5.958502790465283,3.889010273572265,711.1413479847777,21.88650246522426,Dry,Low,High,91,14.746498050758417,Corn
South America,Clay,6.347193724840966,2.1517184659029045,772.9799384170125,14.111072292538234,Dry,High,Low,101,10.479465358971902,Barley
Asia,Sandy,7.2442478178883025,4.72847312993445,759.4307560659695,20.234577174751294,Continental,Medium,Medium,157,15.55279076035317,Soybean
Asia,Sandy,5.872641758988241,4.349963156009968,934.4850037790186,16.862905578112613,Temperate,High,Low,90,13.963572595671229,Barley
North America,Loam,7.075579777428985,3.414886126920556,640.6994082684826,23.303876158610702,Tropical,High,Low,124,14.352692034977203,Wheat
North America,Clay,6.674136448273135,1.1313866809737534,335.8525252043739,24.202636251257783,Temperate,High,Medium,140,11.625916986168336,Soybean
Europe,Loam,6.661176700556087,3.5290571516781215,753.8130939582644,23.48103182406709,Continental,Medium,Low,117,14.175825199606985,Wheat
Europe,Sandy,5.634152954776855,3.999841881596711,503.0596856965856,32.8667990162493,Tropical,Medium,Medium,145,16.90482085564233,Soybean
North America,Clay,7.173129626584666,3.3498144169362973,513.258285507623,27.32694877759547,Continental,Medium,Low,90,13.816738985655364,Soybean
Asia,Clay,5.7059629586626315,2.3374512452419287,1100.7985977165376,27.95858661594078,Continental,Low,Medium,144,16.552568182777538,Rice
North America,Clay,7.457862871231923,4.359155437826282,1082.9927382993326,20.625230155832234,Temperate,High,Medium,96,16.845246500710523,Soybean
North America,Loam,6.638887035527,4.549841930054011,805.9967269054316,11.457483602157462,Dry,High,Low,97,12.612274760688393,Barley
Asia,Loam,6.836170273141292,1.8199371816632839,727.806766836184,25.79664901682124,Continental,Medium,Medium,144,13.299088698523722,Wheat
Asia,Sandy,6.680589885029615,2.072254563291505,1152.9373868525438,16.478281547286205,Dry,Low,High,94,13.161744400900005,Barley
Africa,Clay,7.396906613924314,4.054423176639043,449.30611674986744,17.275388825205457,Continental,Medium,Low,113,11.255893347003653,Barley
North America,Clay,6.015775370866405,1.5574242962912965,604.8040383416667,30.776197692165365,Dry,Low,Medium,93,14.638947578597865,Soybean
Asia,Clay,6.608356005031586,3.605681553407457,474.0814028047346,22.759318276547504,Tropical,Low,Medium,165,13.01076260687083,Soybean
South America,Sandy,6.308763003098049,4.0836455082570815,996.5381967891028,25.9308909116206,Tropical,Low,High,135,17.657443729084346,Rice
Asia,Clay,5.636499410708183,4.3483159628121175,829.4415658739206,18.8872926391443,Dry,Low,High,100,15.462704351212654,Corn
North America,Clay,6.579685557816386,1.6480555115663384,623.2444422271462,11.22606579712383,Temperate,High,High,170,10.240539370155672,Barley
North America,Sandy,5.6502755634716175,3.9127550248144134,729.5654032800819,21.212602128062596,Dry,Medium,Low,178,14.025803309518004,Soybean
Europe,Loam,6.044290274459925,3.3609226674763484,1120.247645428408,23.162038695277605,Dry,High,Medium,108,17.524865194519766,Rice
Africa,Loam,6.542601334827139,1.3468208474487344,932.7474427776042,25.050707302143092,Dry,Low,Low,169,13.446505007992918,Rice
Africa,Sandy,7.30672762527205,3.5866596764686536,922.1171490567647,20.198708479552135,Dry,Low,Medium,148,14.345200269812498,Soybean
Asia,Sandy,7.49870699913167,3.2232263257487186,820.695553062637,17.32796656988316,Tropical,Medium,High,175,13.339920526672977,Barley
Asia,Loam,6.789093301251644,3.6006694017729126,1010.6305706665808,26.78316691091727,Dry,Low,Medium,113,15.412393202102429,Rice
North America,Sandy,6.308970899363701,3.2897110377338628,294.13251201506796,26.490888539173483,Temperate,High,Low,93,12.724405531236046,Soybean
Asia,Sandy,6.423885701151175,4.961365253367108,1008.7091818573107,18.909480508130287,Continental,Low,Medium,102,15.983411028778576,Soybean
Africa,Clay,6.459751240607818,3.5100218528734803,696.5423099799256,27.0467372009279,Continental,High,High,145,16.56589568966426,Corn
Europe,Loam,6.209244315281553,2.148955966616327,495.75102508227087,17.899065914520712,Dry,Low,Low,157,9.426747368630375,Barley
Asia,Clay,5.748875114593712,4.8256627902377005,750.9860763367327,15.584213774517615,Tropical,Low,Low,126,12.7828859454674,Barley
North America,Clay,6.3031604728509745,4.351302941132982,757.2022311548982,19.514502162983383,Tropical,Medium,Low,143,13.64856360080301,Soybean
Africa,Loam,5.5734638748532275,4.8290810519333025,774.3576947809779,17.49430016360715,Tropical,Medium,Medium,95,14.54097979102706,Barley
Europe,Sandy,7.016476951408182,3.784082472215169,1038.8363925102137,18.133003658117154,Dry,Medium,Low,177,13.574563934252286,Soybean
North America,Loam,6.660172415675622,1.3659473495910195,1271.4752730065416,24.689191507833222,Temperate,Low,Low,145,14.550497351813297,Rice
Europe,Loam,6.601714741218279,1.3479470396456406,722.4596880128032,22.71749551394671,Tropical,Medium,Medium,177,13.347709552917276,Wheat
South America,Loam,7.4242439451841,1.4378754402178155,809.11843289401,16.845039350630262,Temperate,High,Low,117,9.50899990745334,Barley
Africa,Loam,6.9678198379074034,3.0850412487216596,625.9553515712977,25.51856934695299,Temperate,High,Medium,169,15.119663594902105,Wheat
South America,Sandy,7.360180701019477,1.423336375314336,566.220746851656,16.287428245715297,Dry,High,Low,116,9.5314056457725,Barley
North America,Sandy,7.317402618538736,1.004480445920438,896.1124214821494,17.29050437805726,Temperate,Low,High,91,12.290743300532661,Barley
Africa,Sandy,7.462372356054847,3.5272541080666735,963.5505391752099,12.55303470175347,Continental,High,Medium,149,13.009997108022818,Barley
Asia,Sandy,7.007397668101039,4.1552279274829775,665.9136865907481,14.072899976598444,Continental,Medium,High,109,12.67617452179288,Barley
South America,Clay,6.447147776870177,1.2316818422351932,950.3805236065397,24.88449539018533,Continental,High,Low,171,14.386147842270484,Rice
Africa,Loam,6.866590753213011,2.7836108255069933,694.8389225374086,27.827620146171704,Tropical,Medium,High,135,16.016494186407655,Corn
Asia,Sandy,7.089619097499859,3.7747289031259545,554.0261243518371,19.111298392562972,Continental,Low,High,121,13.14520361891444,Corn
North America,Loam,7.387231840335198,2.6789092677044892,687.1842738526543,18.887936107722172,Dry,Low,Medium,148,11.471950301376795,Wheat
South America,Clay,7.288198407358269,1.9198184235643447,790.8827967289004,21.21669724661346,Dry,Low,Low,150,12.03215928597595,Soybean
South America,Clay,6.560708787456512,1.0714475699132775,742.4095556194387,19.206722520657067,Dry,High,Medium,153,11.537901831542413,Soybean
South America,Sandy,5.502463670332852,3.393309060489708,767.6748509075057,13.293626644908567,Continental,Medium,High,173,11.861973898040189,Barley
Europe,Loam,6.1207239178471475,2.820880596327205,736.7804263126945,24.203217744943622,Temperate,Medium,Low,161,13.375259942457127,Wheat
Africa,Clay,7.405297276077434,4.631274611938561,1043.0310017743507,23.710422942618994,Temperate,Medium,Medium,100,16.849813509643692,Rice
Europe,Sandy,6.619297366973829,1.0390833896767346,790.457728771604,27.51699150883575,Temperate,High,Medium,91,15.277333953537969,Soybean
Europe,Sandy,6.635081696523116,3.757859876549063,599.6759980210169,18.594498535570224,Tropical,Low,Medium,104,12.136286043833396,Soybean
Europe,Loam,6.918121038901833,4.483876494984342,711.0033357252281,20.29815184960087,Tropical,High,High,139,15.40809504064109,Corn
South America,Clay,7.134595539924987,2.8092731380732006,822.9066732430928,24.750727354994158,Continental,Medium,High,92,16.629994233881856,Corn
South America,Loam,7.451730511638263,2.3475831670844274,707.9409111612306,18.3982634590284,Continental,Low,Low,97,11.149333100383174,Wheat
Africa,Loam,6.584957271438735,2.9731073871351983,537.755797964977,25.99222476415843,Tropical,High,High,117,15.67169131514578,Corn
Africa,Clay,7.421561102973953,2.663629464587763,595.4414869603189,18.316886363394197,Dry,High,Low,113,11.77905425378692,Soybean
South America,Sandy,6.377230838379181,3.901030641660546,844.8903637119944,25.235491513060772,Continental,Medium,Medium,155,16.874395567422923,Soybean
Asia,Loam,6.431625614040497,4.343992255124838,887.8605515362942,13.613897670384585,Dry,Medium,Medium,115,12.524275951640611,Barley
South America,Clay,5.994462148806354,4.482999605090045,794.8891858017109,25.86364509629682,Dry,Medium,Medium,103,15.502725920812537,Soybean
Asia,Loam,7.215972507845412,1.036121616518201,847.0399657709402,15.630248272542872,Temperate,Low,High,154,10.440062746537754,Barley
South America,Sandy,6.174006352862572,4.315533463530437,815.3643782120511,13.585038879057151,Dry,High,High,90,15.199635469506342,Barley
South America,Sandy,6.567023850599391,4.127161319380118,548.0160067253689,11.816375043503296,Tropical,Medium,Low,133,10.689567332222643,Barley
South America,Loam,5.61417371217863,3.124678112004128,734.6238440640697,17.245259427672863,Dry,Medium,High,109,13.421028168397978,Barley
North America,Clay,5.583145718100784,1.5933728038483554,704.4639708211586,20.393175951580453,Tropical,Low,High,142,11.415870540392559,Corn
Asia,Loam,6.543460093272426,2.3706139524836614,491.10710127870647,22.517145413009388,Dry,Medium,Medium,127,12.961261700652038,Wheat
Asia,Loam,6.387500438609142,4.472569017510022,592.0188145748939,21.38284576297464,Continental,Medium,Low,175,13.127646247102334,Wheat
Asia,Sandy,5.988294580844748,4.323508765366822,779.431167372786,19.866028266821683,Dry,High,Medium,136,14.891310915398995,Soybean
Europe,Clay,6.287728811308317,3.6049319081659683,813.4997071750017,23.19365111014592,Continental,Low,Low,179,13.33803693908632,Soybean
South America,Clay,7.241506900674518,4.129541936233094,787.1723306814015,21.6438120515174,Temperate,Medium,High,166,15.430469533125382,Corn
Asia,Sandy,7.255782318082655,2.2687828670615944,734.659201004435,24.50737314973893,Temperate,Medium,Medium,164,14.071102949995794,Soybean
Europe,Clay,6.719663610997389,3.253755709393835,1021.8520404445848,12.689820142490571,Temperate,High,Low,108,12.023514637757009,Barley
Europe,Sandy,6.785151937894379,4.037377311691464,369.32197727925706,14.057566390367839,Dry,Medium,Medium,98,10.749821362269643,Barley
North America,Sandy,6.453390950082318,2.577461295273401,473.86532651694716,20.854854857841097,Temperate,Medium,Medium,176,12.28512929698843,Soybean
North America,Loam,5.642560540110328,4.81864012013323,970.6831117560615,24.583142330787645,Tropical,Low,High,125,17.503397033940576,Rice
North America,Loam,6.4717435183726515,2.0271062708820318,649.2070822266647,18.59662461566613,Dry,Low,Low,141,10.707917119180072,Wheat
South America,Loam,6.327098203050703,1.4875443733477902,841.368770399305,15.051859317148313,Continental,Medium,Medium,164,11.68282273981336,Barley
South America,Clay,6.6346244392578075,2.026251134805455,679.7264712097573,21.598909670712686,Dry,Low,High,125,12.587995457362405,Corn
Europe,Sandy,7.087487700761033,3.5864236536914404,769.9316154838193,32.730241667022376,Temperate,High,High,177,19.244397767372053,Corn
Asia,Sandy,6.049612071096272,4.290457274054713,949.4330448519163,16.495841605669572,Tropical,Medium,Low,149,14.142702672910628,Barley
North America,Clay,7.238519249302105,2.8915678625327286,913.9587623807539,17.764267688080434,Tropical,High,Medium,110,13.71929985741877,Barley
Europe,Clay,6.77592158663194,2.0275353905828593,659.9302385084093,16.78500888259561,Continental,Low,High,166,11.41304114561139,Barley
Asia,Loam,6.935195531316353,3.7697446052974786,1315.9418675308639,12.8219058589328,Dry,Low,Medium,113,13.285523566982631,Barley
South America,Clay,5.658838737977973,1.3426329983857221,475.3908213068509,22.81672731252512,Dry,Medium,Medium,125,11.305238242026046,Soybean
North America,Clay,7.100713015644724,1.934848327641732,597.0486538614266,16.20479776395676,Tropical,High,Low,110,10.411290646103698,Barley
Asia,Loam,7.488278722442335,3.6473567593975145,1045.5337984946584,13.951794906543974,Temperate,Low,Medium,170,13.124953733398339,Barley
South America,Clay,5.901867377318113,3.143310737892325,822.680012654521,22.693779962231847,Continental,Medium,Low,151,13.475845845716337,Soybean
Europe,Loam,7.484967004316751,4.708003871697182,581.5374470654842,18.41795775152599,Continental,Low,High,154,13.737071201946057,Corn
Asia,Loam,6.917489395485953,1.1446415220990485,1045.4100119940304,22.518680231062127,Continental,Low,Low,112,13.189565326960059,Rice
Asia,Sandy,6.519448493503396,4.301144432931587,555.9365245568449,16.4065903727836,Temperate,Low,Low,151,12.22044686256797,Barley
North America,Clay,6.50230599836402,2.588715109716844,573.709395869514,10.030345818659821,Dry,High,Medium,127,10.357791470511682,Barley
Asia,Sandy,7.080060872614123,2.218716556392163,853.4784628143806,21.608489030980067,Dry,Medium,Medium,162,13.607857178731663,Soybean
South America,Clay,6.127455382388192,3.4254837777335023,691.244113355332,16.38909346036514,Continental,Medium,Low,154,12.92794194272314,Barley
Africa,Loam,5.636344618770988,1.103247627797948,725.6574193414199,15.03843366981953,Dry,Low,Medium,114,9.768396449996692,Barley
South America,Sandy,5.500665012240979,1.0707512384530289,786.2418307130243,23.628834115815163,Dry,Medium,Medium,91,12.946981936159808,Soybean
South America,Loam,5.923510701330956,2.9384063480754588,533.7540414571858,21.391645306101076,Dry,High,High,139,14.011322606177677,Corn
Europe,Loam,6.883236111138639,3.472206697148744,732.5828057763921,16.151155610595616,Dry,Low,High,93,12.50579852063967,Barley
Europe,Sandy,7.273208430480933,2.79913859528529,591.2054320003483,18.955197563339848,Dry,Low,Medium,96,10.709903590489363,Soybean
Africa,Sandy,6.337161243247871,4.161350943440592,1339.942828083902,17.16403790593661,Temperate,Low,Medium,110,15.783297328206448,Barley
Asia,Loam,6.595918977947386,2.8175093382398435,601.1787533915615,19.84530501422188,Temperate,High,Low,141,11.87003486392,Wheat
South America,Clay,6.418893536811973,4.1400661753482275,708.3566961398849,13.140494285343218,Continental,Medium,High,102,11.989204007642602,Barley
Europe,Sandy,7.360637769675647,2.012233731203138,760.4390628206987,18.101213300098788,Continental,Low,Low,110,10.833171778643587,Soybean
North America,Clay,7.2649188809122,1.4227739196250964,1062.356780041515,19.3810520609454,Continental,Low,High,133,14.252392833233626,Corn
Europe,Loam,7.104261116255175,1.4214701358112238,958.6112761314859,26.1387612990965,Tropical,Low,Low,106,13.09829773427051,Rice
North America,Loam,5.696791299426795,3.6412108788053525,605.6771922978696,17.742951711996806,Dry,High,High,97,13.546213434307733,Barley
Asia,Clay,7.451981699197585,3.6694015921857135,663.2812399670154,23.547667886536875,Dry,Low,High,156,14.956817620679436,Corn
Europe,Sandy,7.459940658717701,3.4075263585452884,614.8758300451267,16.782408848099287,Tropical,Medium,High,142,13.299042955532268,Barley
South America,Clay,5.690023397984609,2.5039715597652457,845.9908895684425,15.458489345170971,Dry,Medium,High,167,13.89878206417586,Barley
South America,Clay,6.07181357847832,4.2637877558744695,579.3583268556633,21.537033489045506,Continental,Low,High,128,14.676800491961192,Corn
Europe,Sandy,7.183997105780123,3.913962708646453,750.2617747632905,28.036727880099964,Dry,Medium,Low,96,16.3558967270602,Soybean
Europe,Clay,6.951959819970591,4.27114131942778,640.1211847677129,19.528141249823094,Continental,Low,Low,168,12.43301472946882,Soybean
North America,Loam,6.51672109383256,2.1901938052752823,1260.082017089394,25.37716531552519,Continental,Low,Medium,108,16.966690858220634,Rice
Africa,Loam,7.100141937398319,1.8161425385155954,841.0053374123758,18.954883713569874,Continental,Medium,Medium,99,12.219145604840667,Wheat
Africa,Clay,6.577391334686078,3.096636682904649,602.5836459423955,27.433735678998872,Dry,High,High,179,16.37659411986393,Corn
Europe,Clay,6.440638108203571,3.0082008539537886,863.8666379386772,23.17120571529611,Tropical,Low,High,147,15.414898382105196,Corn
South America,Loam,6.3252436816972475,3.7824725859872275,460.2301600392709,27.285978799781233,Tropical,Medium,Medium,110,14.604825507555438,Wheat
Europe,Loam,5.950877510927388,3.811773763914707,563.8435874699321,17.311551512860685,Dry,Low,Medium,113,12.013824777801654,Barley
Asia,Clay,6.890831296656106,3.983700835254698,601.5314320250299,21.929421915421628,Temperate,High,High,147,15.747357304374002,Corn
North America,Sandy,6.242844003746091,1.2501689075894737,936.4068900087852,15.611787901202124,Continental,Medium,High,136,12.756952693826452,Barley
North America,Sandy,6.492332768226439,1.7130098676185663,891.1379337334503,14.591485802097992,Continental,Medium,Low,104,11.277247968487305,Barley
North America,Loam,6.169022577483864,1.1047868341282592,739.1552237656372,17.55575289106863,Tropical,Medium,Low,159,9.786522736806877,Barley
Europe,Loam,6.423465627224765,2.9236240030122786,683.3175288263741,13.495491217429372,Tropical,High,Low,110,10.21917579391536,Barley
Asia,Clay,5.514058407627238,1.2291210043104934,225.54755734367018,20.49952771951205,Dry,High,Medium,135,10.133873710876935,Soybean
South America,Sandy,5.993957598144,4.625018322084147,604.7249457433256,15.537720803215482,Dry,Low,Low,99,11.841747940465213,Barley
Asia,Sandy,5.625306406910709,4.625749813377643,639.364209863931,17.369609838940207,Tropical,Medium,Low,146,12.601294082575038,Barley
Africa,Clay,6.96489746367618,3.193282334905697,769.8328758786888,18.8150041446992,Tropical,High,High,177,14.899494775303292,Corn
Asia,Clay,5.789930144759634,3.900622910204459,819.3499789918233,22.04172582197389,Continental,Medium,Low,126,14.327416267494765,Soybean
Europe,Loam,5.728191569775866,1.6049873149397382,476.9736368188981,25.823696772285857,Dry,Low,Low,157,11.004408037057997,Wheat
Europe,Sandy,5.635336723800004,3.8313403889190747,767.164117675899,22.144082501652864,Continental,Low,Low,106,13.890670453642187,Soybean
